icao,iata,name,city,country,lat,lng,alt
NCAI,AIT,Aitutaki Airport,Aitutaki,Cook Islands,-18.8309001923,-159.7640075684,14
NCRG,RAR,Rarotonga International Airport,Avarua,Cook Islands,-21.2026996613,-159.805999756,19
NFFN,NAN,Nadi International Airport,Nandi,Fiji,-17.755399704,177.4429931641,59
NFNA,SUV,Nausori International Airport,Nausori,Fiji,-18.0433006287,178.5590057373,17
NFTF,TBU,Fua'amotu International Airport,Tongatapu,Tonga,-21.2411994934,-175.1499938965,126
NFTV,VAV,Vava'u International Airport,Vava'u,Tonga,-18.5853004456,-173.9620056152,236
NGTA,TRW,Bonriki International Airport,Tarawa,Kiribati,1.3816399574,173.1470031738,9
NGTE,TBF,Tabiteuea North Airport,Tabiteuea North,Kiribati,-1.2244700193,174.7760009766,7
NLWW,WLS,Hihifo Airport,Wallis,Wallis and Futuna,-13.2383003235,-176.199005127,79
NSFA,APW,Faleolo International Airport,Faleolo,Samoa,-13.8299999237,-172.0079956055,58
NSTU,PPG,Pago Pago International Airport,Pago Pago,American Samoa,-14.3310003281,-170.710006714,32
NTAR,RUR,Rurutu Airport,Rurutu,French Polynesia,-22.4340991974,-151.3609924316,18
NTAT,TUB,Tubuai Airport,Tubuai,French Polynesia,-23.3654003143,-149.5240020752,7
NTGA,AAA,Anaa Airport,Anaa,French Polynesia,-17.3526000977,-145.5099945068,10
NTGB,,Fangatau Airport,Fangatau,French Polynesia,-15.819899559,-140.8869934082,9
NTGC,TIH,Tikehau Airport,Tikehau,French Polynesia,-15.119600296,-148.2310028076,6
NTGE,REA,Reao Airport,Reao,French Polynesia,-18.4659004211,-136.4400024414,12
NTGF,FAV,Fakarava Airport,Fakarava,French Polynesia,-16.0541000366,-145.6569976807,13
NTGI,XMH,Manihi Airport,Manihi,French Polynesia,-14.4368000031,-146.0700073242,14
NTGJ,GMR,Totegegie Airport,Totegegie,French Polynesia,-23.0799007416,-134.8899993896,7
NTGK,KKR,Kaukura Airport,Kaukura Atoll,French Polynesia,-15.6632995605,-146.8849945068,11
NTGM,MKP,Makemo Airport,Makemo,French Polynesia,-16.5839004517,-143.6580047607,3
NTGP,PKP,Puka Puka Airport,Puka Puka,French Polynesia,-14.8094997406,-138.81300354,5
NTGT,TKP,Takapoto Airport,Takapoto,French Polynesia,-14.7095003128,-145.2460021973,12
NTGU,AXR,Arutua Airport,Arutua,French Polynesia,-15.2482995987,-146.6170043945,9
NTGV,MVT,Mataiva Airport,Mataiva,French Polynesia,-14.8681001663,-148.7169952393,11
NTKR,TKX,Takaroa Airport,Takaroa,French Polynesia,-14.4558000565,-145.0249938965,13
NTMD,NHV,Nuku Hiva Airport,Nuku Hiva,French Polynesia,-8.7955999374,-140.2290039063,220
NTTB,BOB,Bora Bora Airport,Bora Bora,French Polynesia,-16.4444007874,-151.7510070801,10
NTTG,RGI,Rangiroa Airport,Rangiroa,French Polynesia,-14.9542999268,-147.6609954834,10
NTTH,HUH,Huahine-Fare Airport,Huahine Island,French Polynesia,-16.6872005463,-151.0220031738,7
NTTM,MOZ,Moorea Airport,Moorea,French Polynesia,-17.4899997711,-149.7619934082,9
NTTO,HOI,Hao Airport,Hao Island,French Polynesia,-18.0748004913,-140.9459991455,10
NTTP,MAU,Maupiti Airport,Maupiti,French Polynesia,-16.4265003204,-152.2440032959,15
NTTR,RFP,Raiatea Airport,Raiatea Island,French Polynesia,-16.7229,-151.466003,3
NVVV,VLI,Bauerfield International Airport,Port-vila,Vanuatu,-17.699300766,168.3200073242,70
NWWD,KNQ,Koné Airport,Kone,New Caledonia,-21.0543003082,164.8370056152,23
NWWK,KOC,Koumac Airport,Koumac,New Caledonia,-20.5463008881,164.2559967041,42
NWWL,LIF,Lifou Airport,Lifou,New Caledonia,-20.7747993469,167.2400054932,92
NWWM,GEA,Nouméa Magenta Airport,Noumea,New Caledonia,-22.2583007813,166.4730072021,10
NWWR,MEE,Maré Airport,Mare,New Caledonia,-21.4817008972,168.0379943848,141
NWWU,TOU,Touho Airport,Touho,New Caledonia,-20.7900009155,165.2590026855,10
NWWV,UVE,Ouvéa Airport,Ouvea,New Caledonia,-20.6406002045,166.5729980469,23
NWWW,NOU,La Tontouta International Airport,Noumea,New Caledonia,-22.0146007538,166.2129974365,52
NZAA,AKL,Auckland International Airport,Auckland,New Zealand,-37.0080986023,174.792007446,23
NZAP,TUO,Taupo Airport,Taupo,New Zealand,-38.7397003174,176.0839996338,1335
NZAR,AMZ,Ardmore Airport,Ardmore,New Zealand,-37.0297012329,174.9730072021,111
NZCH,CHC,Christchurch International Airport,Christchurch,New Zealand,-43.4893989563,172.5319976807,123
NZCI,CHT,Chatham Islands-Tuuta Airport,Chatham Island,New Zealand,-43.8100013733,-176.4570007324,43
NZDN,DUD,Dunedin Airport,Dunedin,New Zealand,-45.9281005859,170.1979980469,4
NZGS,GIS,Gisborne Airport,Gisborne,New Zealand,-38.6632995605,177.9779968262,15
NZGT,,Glentanner Airport,Glentanner,New Zealand,-43.9067001343,170.1280059814,1824
NZHK,HKK,Hokitika Airfield,Hokitika,New Zealand,-42.7136001587,170.9850006104,146
NZHN,HLZ,Hamilton International Airport,Hamilton,New Zealand,-37.8666992188,175.332000732,172
NZHS,,Hastings Aerodrome,Hastings,New Zealand,-39.646702,176.766998,72
NZKK,KKE,Kerikeri Airport,Kerikeri,New Zealand,-35.2627983093,173.9120025635,492
NZKT,KAT,Kaitaia Airport,Kaitaia,New Zealand,-35.0699996948,173.2850036621,270
NZLX,ALR,Alexandra Airport,Alexandra,New Zealand,-45.2117004395,169.3730010986,752
NZMC,MON,Mount Cook Airport,Mount Cook,New Zealand,-43.7649993896,170.1329956055,2153
NZMO,TEU,Manapouri Airport,Manapouri,New Zealand,-45.5331001282,167.6499938965,687
NZMS,MRO,Hood Airport,Masterton,New Zealand,-40.9733009338,175.6340026855,364
NZNP,NPL,New Plymouth Airport,New Plymouth,New Zealand,-39.0085983276,174.1790008545,97
NZNS,NSN,Nelson Airport,Nelson,New Zealand,-41.2983016968,173.220993042,17
NZNV,IVC,Invercargill Airport,Invercargill,New Zealand,-46.412399292,168.31300354,5
